iter	RMSE
0	11163.50636
1	10796.2512
2	10452.73631
3	10152.06741
4	9895.077987
5	9618.360311
6	9392.66144
7	9171.66961
8	8996.72997
9	8827.248573
10	8674.270921
11	8540.71831
12	8393.432641
13	8258.900192
14	8154.54067
15	8034.052273
16	7940.820736
17	7833.717638
18	7742.150211
19	7646.263852
20	7579.298247
21	7491.986724
22	7404.710044
23	7326.841304
24	7245.719733
25	7182.025784
26	7128.272363
27	7069.816099
28	7009.793477
29	6956.027648
30	6901.653327
31	6844.99006
32	6804.682134
33	6736.563914
34	6677.240882
35	6632.548896
36	6590.57114
37	6551.196515
38	6503.991549
39	6456.43573
40	6415.072474
41	6387.913529
42	6359.275214
43	6323.884098
44	6293.190291
45	6251.969599
46	6228.530223
47	6198.785162
48	6169.12094
49	6147.428904
50	6119.322926
51	6099.113168
52	6071.360898
53	6035.313356
54	6012.312428
55	5991.876272
56	5975.492331
57	5961.672112
58	5943.456707
59	5926.261238
60	5902.85562
61	5883.468446
62	5858.358425
63	5838.673107
64	5819.508746
65	5790.327222
66	5764.523304
67	5753.641697
68	5735.84253
69	5712.769684
70	5697.742839
71	5672.111787
72	5649.998465
73	5639.276936
74	5628.490831
75	5612.399555
76	5598.015084
77	5585.421492
78	5574.618587
79	5562.721
80	5548.007001
81	5529.785471
82	5520.725884
83	5494.798598
84	5487.415857
85	5471.322082
86	5463.624074
87	5457.102382
88	5448.300533
89	5436.649209
90	5423.162402
91	5407.156084
92	5392.094274
93	5381.117669
94	5360.722443
95	5351.793433
96	5342.645204
97	5333.717311
98	5321.144192
99	5310.793063
100	5295.23927
101	5284.613185
102	5278.132334
103	5268.447787
104	5260.680621
105	5251.88958
106	5244.07001
107	5237.124865
108	5231.981615
109	5224.534732
110	5208.687862
111	5200.609994
112	5200.334396
113	5190.698109
114	5180.475186
115	5175.453086
116	5165.964423
117	5157.322249
118	5141.893697
119	5135.500685
120	5125.381407
121	5113.592984
122	5103.237192
123	5095.617292
124	5092.334593
125	5086.282592
126	5077.997032
127	5074.653907
128	5066.836638
129	5056.959771
130	5048.098309
131	5038.38539
132	5030.396207
133	5017.029295
134	5004.021462
135	4990.747209
136	4979.385844
137	4971.297524
138	4964.464255
139	4958.183471
140	4947.859434
141	4935.120903
142	4929.465611
143	4922.711993
144	4911.004031
145	4903.944879
146	4898.483242
147	4893.652997
148	4890.22988
149	4881.977202
150	4873.828798
151	4865.753356
152	4861.171522
153	4854.110173
154	4847.342406
155	4841.070051
156	4834.428549
157	4828.577765
158	4816.656377
159	4810.048452
160	4801.572464
161	4795.122278
162	4784.492424
163	4777.011456
164	4771.831678
165	4763.802889
166	4752.640241
167	4746.454278
168	4735.188664
169	4726.431452
170	4722.019485
171	4715.300309
172	4710.051375
173	4704.151588
174	4695.876939
175	4690.250004
176	4681.760046
177	4677.635919
178	4674.5746
179	4669.052565
180	4664.182051
181	4659.479213
182	4655.701991
183	4647.982552
184	4641.719387
185	4637.920716
186	4632.306296
187	4624.71185
188	4619.15869
189	4612.300693
190	4600.323952
191	4595.518321
192	4586.762416
193	4578.846957
194	4573.911451
195	4569.44451
196	4561.761891
197	4557.087264
198	4546.204552
199	4541.589216
200	4535.115056
201	4528.921556
202	4520.265886
203	4514.081266
204	4508.529801
205	4508.400022
206	4495.624882
207	4493.857789
208	4489.562177
209	4481.946871
210	4477.462977
211	4471.88561
212	4471.740592
213	4466.744641
214	4466.631509
215	4456.98027
216	4449.220033
217	4442.589534
218	4436.206619
219	4430.087897
220	4422.438545
221	4416.235124
222	4409.401055
223	4404.738091
224	4400.71682
225	4396.809246
226	4390.895809
227	4384.835405
228	4381.809182
229	4378.286062
230	4373.580013
231	4370.509067
232	4363.710578
233	4361.164416
234	4359.001558
235	4349.041598
236	4345.013985
237	4339.933136
238	4335.666261
239	4329.66794
240	4324.104802
241	4323.145549
242	4319.958797
243	4313.77129
244	4310.751993
245	4304.490065
246	4300.340716
247	4297.461931
248	4292.659114
249	4287.104949
250	4280.678975
251	4276.470768
252	4272.834809
253	4269.322771
254	4266.53625
255	4263.091239
256	4258.511359
257	4250.79724
258	4245.028676
259	4242.213052
260	4235.832092
261	4232.011933
262	4230.679673
263	4226.563476
264	4223.702779
265	4218.933627
266	4213.673905
267	4210.827557
268	4206.348824
269	4203.204395
270	4200.432276
271	4194.842006
272	4191.142902
273	4187.924227
274	4183.893424
275	4179.033722
276	4176.153234
277	4170.115357
278	4167.797272
279	4163.442745
280	4159.237593
281	4155.538216
282	4152.577706
283	4150.91036
284	4148.042301
285	4145.428782
286	4142.466289
287	4138.915039
288	4135.833356
289	4131.745675
290	4128.176079
291	4126.209838
292	4122.226023
293	4118.778537
294	4112.46319
295	4110.932674
296	4109.858999
297	4106.561491
298	4103.629653
299	4094.61494
300	4090.169719
301	4087.520947
302	4084.277643
303	4081.249534
304	4078.126159
305	4076.055541
306	4069.449938
307	4064.692026
308	4061.114632
309	4057.005956
310	4051.185915
311	4049.04021
312	4047.844708
313	4042.922684
314	4041.651075
315	4038.0316
316	4035.472433
317	4030.749567
318	4025.243861
319	4024.379743
320	4020.513114
321	4017.889803
322	4016.542157
323	4012.298802
324	4010.372558
325	4003.945102
326	4000.123759
327	3995.22309
328	3991.106885
329	3988.434287
330	3985.929282
331	3984.116491
332	3979.738708
333	3974.221619
334	3970.094022
335	3967.127432
336	3960.786203
337	3959.967814
338	3957.584108
339	3956.431034
340	3952.265196
341	3947.68136
342	3943.531397
343	3939.101953
344	3936.570902
345	3932.978878
346	3928.749644
347	3926.482479
348	3924.854467
349	3919.937244
350	3916.322542
351	3912.756067
352	3908.046006
353	3905.767491
354	3903.252934
355	3900.247203
356	3896.089465
357	3893.434597
358	3888.907983
359	3885.274518
360	3882.827998
361	3879.788664
362	3877.095594
363	3873.654178
364	3870.522059
365	3867.230698
366	3862.733712
367	3858.672527
368	3857.359836
369	3857.322966
370	3853.012488
371	3851.802197
372	3849.322466
373	3847.242132
374	3843.956747
375	3843.922282
376	3843.889718
377	3839.911335
378	3837.405672
379	3834.095607
380	3834.065245
381	3831.708589
382	3828.485382
383	3825.002953
384	3821.046414
385	3818.332246
386	3814.088763
387	3811.748223
388	3809.279723
389	3804.868009
390	3800.205208
391	3796.733059
392	3793.99262
393	3790.864382
394	3788.995925
395	3787.583094
396	3785.727357
397	3785.701977
398	3782.753768
399	3780.764488
400	3778.846691
401	3775.984267
402	3772.552447
403	3767.27833
404	3762.18072
405	3759.478175
406	3759.454552
407	3756.901835
408	3755.616483
409	3755.585777
410	3752.166074
411	3748.041205
412	3744.19723
413	3740.852074
414	3737.78702
415	3736.52448
416	3733.309276
417	3728.956484
418	3727.634991
419	3722.658227
420	3720.556617
421	3718.830413
422	3718.811264
423	3717.114744
424	3714.024848
425	3712.273698
426	3712.255287
427	3710.358307
428	3706.68346
429	3705.412033
430	3703.783364
431	3698.912148
432	3695.57134
433	3692.580888
434	3691.35144
435	3689.512218
436	3683.88251
437	3682.166627
438	3678.131183
439	3678.113499
440	3676.463438
441	3676.438326
442	3672.573136
443	3671.146103
444	3668.212632
445	3666.800706
446	3664.564442
447	3662.106835
448	3659.010009
449	3656.011239
450	3653.519907
451	3650.883067
452	3647.840843
453	3645.831265
454	3645.815705
455	3644.002917
456	3640.884329
457	3638.448013
458	3635.416413
459	3632.220089
460	3629.418675
461	3627.334249
462	3625.485419
463	3623.509414
464	3621.524482
465	3619.685867
466	3617.749859
467	3616.756366
468	3613.35978
469	3609.404804
470	3606.460186
471	3604.852204
472	3603.406475
473	3601.391717
474	3598.797716
475	3595.637726
476	3593.697713
477	3592.505113
478	3590.74089
479	3588.706574
480	3583.287169
481	3580.679486
482	3578.936646
483	3577.008066
484	3573.522627
485	3568.733211
486	3567.240542
487	3565.180034
488	3563.022812
489	3559.658454
490	3557.588146
491	3555.329136
492	3552.410138
493	3549.858471
494	3547.818081
495	3546.703317
496	3546.68849
497	3543.068627
498	3541.304606
499	3539.963758
500	3538.011668
501	3535.160225
502	3532.240443
503	3532.220304
504	3531.680777
505	3529.773216
506	3529.718428
507	3526.729404
508	3524.645192
509	3521.71316
510	3520.645128
511	3518.222344
512	3517.026262
513	3514.67442
514	3510.948494
515	3509.181641
516	3507.762746
517	3505.305246
518	3503.050533
519	3501.660022
520	3497.192937
521	3493.773111
522	3491.837116
523	3488.209353
524	3484.608854
525	3482.632555
526	3480.577243
527	3478.321667
528	3476.496457
529	3472.783925
530	3470.311994
531	3468.498268
532	3466.921692
533	3465.451622
534	3464.025504
535	3464.006241
536	3461.058342
537	3458.772897
538	3456.602219
539	3454.668717
540	3452.49107
541	3451.147241
542	3449.242866
543	3446.916107
