iter	Passed	Remaining
0	16	21244
1	32	21000
2	46	19971
3	59	19189
4	74	19132
5	87	18891
6	102	18819
7	116	18690
8	129	18501
9	142	18381
10	157	18392
11	172	18490
12	185	18361
13	198	18206
14	214	18336
15	234	18753
16	247	18632
17	260	18529
18	275	18547
19	289	18480
20	301	18330
21	314	18254
22	327	18139
23	341	18097
24	353	17994
25	366	17905
26	378	17810
27	393	17818
28	407	17820
29	422	17829
30	435	17780
31	448	17739
32	461	17678
33	474	17625
34	487	17567
35	500	17518
36	515	17563
37	528	17499
38	540	17435
39	552	17371
40	565	17315
41	578	17297
42	595	17378
43	608	17336
44	621	17303
45	634	17262
46	647	17222
47	660	17183
48	673	17148
49	686	17109
50	699	17083
51	712	17052
52	725	17037
53	738	17010
54	756	17088
55	772	17124
56	785	17089
57	799	17069
58	811	17034
59	825	17017
60	839	17009
61	855	17050
62	869	17021
63	882	17008
64	897	17008
65	910	16980
66	923	16960
67	939	16972
68	962	17135
69	979	17176
70	996	17206
71	1009	17182
72	1025	17191
73	1038	17155
74	1051	17126
75	1064	17107
76	1077	17078
77	1091	17058
78	1105	17040
79	1121	17053
80	1137	17079
81	1157	17157
82	1172	17147
83	1186	17127
84	1199	17108
85	1212	17074
86	1230	17115
87	1243	17077
88	1256	17050
89	1268	17014
90	1281	16987
91	1295	16970
92	1310	16972
93	1327	16987
94	1342	16982
95	1354	16949
96	1368	16927
97	1381	16900
98	1394	16876
99	1407	16846
100	1420	16819
101	1433	16793
102	1445	16758
103	1460	16752
104	1473	16723
105	1490	16745
106	1509	16786
107	1522	16760
108	1535	16731
109	1547	16696
110	1559	16667
111	1572	16636
112	1575	16507
113	1587	16475
114	1601	16464
115	1614	16441
116	1627	16414
117	1640	16387
118	1652	16359
119	1666	16350
120	1687	16399
121	1701	16389
122	1718	16403
123	1733	16399
124	1747	16386
125	1761	16372
126	1775	16352
127	1788	16331
128	1801	16311
129	1814	16292
130	1829	16282
131	1846	16298
132	1863	16310
133	1880	16318
134	1894	16310
135	1909	16300
136	1923	16285
137	1937	16269
138	1951	16254
139	1965	16246
140	1980	16238
141	1994	16224
142	2008	16208
143	2023	16203
144	2038	16196
145	2057	16217
146	2071	16208
147	2085	16194
148	2099	16174
149	2112	16157
150	2126	16135
151	2142	16138
152	2157	16130
153	2174	16137
154	2193	16163
155	2214	16197
156	2230	16199
157	2250	16226
158	2272	16263
159	2290	16275
160	2312	16316
161	2331	16338
162	2350	16352
163	2366	16351
164	2382	16342
165	2396	16330
166	2412	16324
167	2427	16315
168	2441	16299
169	2456	16284
170	2470	16266
171	2485	16257
172	2501	16251
173	2514	16226
174	2526	16200
175	2539	16175
176	2552	16150
177	2564	16123
178	2581	16123
179	2594	16102
180	2609	16091
181	2623	16070
182	2635	16045
183	2648	16022
184	2661	15997
185	2674	15975
186	2687	15951
187	2701	15934
188	2715	15917
189	2727	15894
190	2741	15874
191	2756	15864
192	2772	15859
193	2786	15844
194	2800	15828
195	2815	15816
196	2829	15797
197	2845	15794
198	2858	15773
199	2872	15756
200	2885	15733
201	2899	15715
202	2913	15700
203	2925	15676
204	2943	15681
205	2948	15613
206	2962	15602
207	2979	15600
208	2993	15584
209	3008	15571
210	3021	15552
211	3035	15533
212	3039	15468
213	3052	15449
214	3056	15383
215	3071	15369
216	3084	15353
217	3098	15334
218	3112	15321
